ΠΕΡΙΦΕΡΕΙΑ	ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΕΝΟΤΗΤΕΣ	ΚΕΝΤΡΟΕΙΔΕΣ	longitude	latitude																				
Κρήτη	Λασιθίου	ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ	25.7175216	35.1905899	Ηρακλείου																			
Αν. Μακεδονία & Θράκη	Έβρου	ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ	25.8753275	40.845692	Ροδόπης																			
Στ. Ελλάδας	Φθιώτιδας	ΛΑΜΙΑ	22.4341691	38.9004584	Σποράδων	Ευρυτανίας	Λάρισας	Καρδίτσας	Μαγνησίας	Βοιωτίας	Φωκίδας	Αιτωλ/νανίας												
Θεσσαλία	Λάρισας	ΛΑΡΙΣΑ	22.4160706	39.6383092	Πιερίας	Κοζάνης	Γρεβενών	Καρδίτσας	Μαγνησίας	Τρικάλων	Φθιώτιδας													
Ιονίων Νήσων	Λευκάδας	ΛΕΥΚΑΔΑ	20.7090992	38.8350164	Ηλείας	Αιτωλ/νανίας	Πρέβεζας																	
Β. Αιγαίο	Λήμνου	ΛΗΜΝΟΣ	25.147504854	39.9198073928	Πειραιώς																			
Στ. Ελλάδας	Βοιωτίας	ΛΙΒΑΔΕΙΑ	22.8790519	38.438148	Φθιώτιδας	Εύβοιας	Δυτικής Αττικής	Βορείου Τομέα Αθηνών	Φωκίδας															
Δυτ. Ελλάδα	Αιτωλ/νανίας	ΜΕΣΟΛΟΓΓΙ	21.4283544	38.3686353	Φωκίδας	Ευρυτανίας	Άρτας	Λευκάδας																
Ν. Αιγαίο	Μήλου	ΜΗΛΟΣ	24.4098460127	36.6883420943	Πειραιώς																			
Ν. Αιγαίο	Μυκόνου	ΜΥΚΟΝΟΣ	25.3286444	37.4450774	Πειραιώς																			
Β. Αιγαίο	Λέσβου	ΜΥΤΙΛΗΝΗ	26.5538342	39.1061204	Πειραιώς																			
Ν. Αιγαίο	Νάξου	ΝΑΞΟΣ	25.3762072	37.101987	Πειραιώς																			
Πελοποννήσου	Αργολίδας	ΝΑΥΠΛΙΟ	22.808078	37.5696972	Κορινθίας	Αρκαδίας																		
Αττική	Νήσων	ΝΗΣΩΝ	23.4817066764	37.7318868919	Πειραιώς																			
Αττική	Νοτίου Τομέα Αθηνών	ΝΤ ΑΘΗΝΩΝ	23.7366280875	37.8996770917	Κεντρικού Τομέα Αθηνών	Ανατολικής Αττικής																		
Αν. Μακεδονία & Θράκη	Ξάνθης	ΞΑΝΘΗ	24.8862688	41.1380289	Ροδόπης	Καβάλας																		
Ν. Αιγαίο	Πάρου	ΠΑΡΟΣ	25.1763631343	37.0756021844	Πειραιώς																			
Δυτ. Ελλάδα	Αχαΐας	ΠΑΤΡΑ	21.7350847	38.246242	Αιτωλ/νανίας	Ηλείας	Αρκαδίας	Κορινθίας																
Αττική	Πειραιώς	ΠΕΙΡΑΙΑΣ	23.6470593	37.9431594	Σύρου	Τήνου	Ρόδου	Σάμου	Θήρας	Πάρου	Νήσων	Μήλου	Μυκόνου	Λέσβου	Νάξου	Λήμνου	Κω	Καρπάθου	Καλύμνου	Ικαρίας	Ηρακλείου	Άνδρου	Χανίων	Χίου
Κεντρ. Μακεδονία	Χαλκιδικής	ΠΟΛΥΓΥΡΟΣ	23.4425494	40.37804	Θεσσαλονίκης																			
Ήπειρος	Πρέβεζας	ΠΡΕΒΕΖΑ	20.7496811	38.9589226	Λευκάδας	Θεσπρωτίας	Άρτας	Ιωαννίνων																
Δυτ. Ελλάδα	Ηλείας	ΠΥΡΓΟΣ	21.4422805	37.6711849	Κεφαλληνίας	Ζακύνθου	Ιθάκης	Μεσσηνίας	Λευκάδας	Αχαΐας	Αρκαδίας													
Κρήτη	Ρεθύμνης	ΡΕΘΥΜΝΟ	24.4736079	35.3676472	Χανίων	Ηρακλείου																		
Ν. Αιγαίο	Ρόδου	ΡΟΔΟΣ	28.2233083	36.4379874	Πειραιώς																			
Β. Αιγαίο	Σάμου	ΣΑΜΟΣ	26.9746631	37.7579286	Πειραιώς																			
Ν. Αιγαίο	Θήρας	ΣΑΝΤΟΡΙΝΗ	25.4306408295	36.4297486159	Πειραιώς																			
Κεντρ. Μακεδονία	Σερρών	ΣΕΡΡΕΣ	23.5498031	41.0910711	Δράμας	Καβάλας	Κιλκίς	Θεσσαλονίκης																
Πελοποννήσου	Λακωνίας	ΣΠΑΡΤΗ	22.4310282	37.0750742	Μεσσηνίας	Αρκαδίας																		
Θεσσαλία	Σποράδων	ΣΠΟΡΑΔΕΣ	23.7183366518	39.1083532664	Φθιώτιδας																			
Ν. Αιγαίο	Σύρου	ΣΥΡΟΣ	24.9150540804	37.4275881183	Πειραιώς																			
Ν. Αιγαίο	Τήνου	ΤΗΝΟΣ	25.1617072	37.5378994	Πειραιώς																			
Θεσσαλία	Τρικάλων	ΤΡΙΚΑΛΑ	21.7678844	39.5560869	Γρεβενών	Ιωαννίνων	Άρτας	Λάρισας	Καρδίτσας															
Πελοποννήσου	Αρκαδίας	ΤΡΙΠΟΛΗ	22.3724241	37.5102911	Αργολίδας	Αχαΐας	Ηλείας	Κορινθίας	Λακωνίας															
Δυτ. Μακεδονία	Φλώρινας	ΦΛΩΡΙΝΑ	21.407594	40.779442	Πέλλας	Κοζάνης	Καστοριάς																	
Στ. Ελλάδας	Εύβοιας	ΧΑΛΚΙΔΑ	23.5947651	38.4624412	Βοιωτίας	Βορείου Τομέα Αθηνών																		
Κρήτη	Χανίων	ΧΑΝΙΑ	24.0191544	35.5120831	Ρεθύμνης																			
Β. Αιγαίο	Χίου	ΧΙΟΣ	26.1341491	38.3715826	Πειραιώς																			
